id,answer
TEST_0000,지역 중소기업과 소상공인의 수출을 지원하는 통상진흥원이죠
TEST_0001,"제주경제통상진흥원은 중국, 일본, 동남아 등 3개 지역을 중심으로 해외시장 개척에 주력하고 있습니다"
TEST_0002,상해대표처는 1842년에 설립되었습니다
TEST_0003,동경통상대표부는 도쿄에 설립되었습니다
TEST_0004,지난해 제주지역의 일본 수출지원금액은 1억 5천만 원입니다
TEST_0005,서경대학교 실용음악과 보컬 전공의 대입시험은 서경대학교 캠퍼스에서 진행되었다
TEST_0006,"1. 천막 고사장은 불법이다.
2. 천막 고사장이 더 좋다.
3. 천막 고사장을 지키기 위해 싸운다"
TEST_0007,2021학년도 서경대 실용음악과 보컬 전공 수시에서 2명이 지원했다
TEST_0008,약 10명
TEST_0009,○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○
TEST_0010,중소기업 혁신바우처 사업은 중소기업의 기술혁신을 지원하기 위해 정부가 2015년부터 시행하고 있는 사업입니다
TEST_0011,컨설팅 서비스 프로그램은 고객의 니즈를 파악하여 맞춤형 솔루션을 제공하는 프로그램입니다
TEST_0012,"일반 바우처는 중소기업, 소상공인, 사회적 경제기업 등이 대상입니다. (중복 답변 가능"
TEST_0013,선정된 기업이 받을 수 있는 바우처 발급금액 한도는 1억원입니다
TEST_0014,중소기업 혁신바우처 사업은 중소벤처기업부 홈페이지에서 신청할 수 있습니다
TEST_0015,산림청과 한국농수산식품유통공사가 어느 온라인 플랫폼에 입점할 임산물 가공식품 업체를 모집하는 계획이다
TEST_0016,A. 농촌지역 B. 도시지역 C. 해외시장 D. 전통시장 E. 대형마트 F. 온라인몰 G. 소셜커머스 H. SSM I. 백화점 J. 슈퍼마켓 K. 편의점 L. 홈쇼핑 M. TV홈쇼핑 N. 기타
TEST_0017,"A. 산림청과 한국농수산식품유통공사가 선정한 업체에 제공하는 사전 기본교육 비용, 전략 컨설팅 비용, 유료 프로모션 수행 비용 중 가장 높은 지원 금액은 어느 기능에 해당하는가"
TEST_0018,"K-임산물의 수출 확대에 대한 사업은 2019년부터 2021년까지 총 3개년 동안 추진되었으며, 2019년에는 중국, 베트남, 태국 등 10개 국가를 대상으로 온라인몰 입점 지원사업을 진행하였고, 2020년에는 미국, 일본, 호주, 캐나다 등 4개 국가를 대상으로 온라인몰 입점 지원사업을 진행하였으며, 2021년에는 중국, 베트남, 인도네시아 등 3개 국가를 대상으로 온라인몰 입점 지원사업을 진행하였다"
TEST_0019,"동남아 전자상거래 시장은 2025년까지 약 1,000억 달러로 성장할 것으로 예측됩니다"
TEST_0020,캠페인 기간은 언제부터 언제까지인가요? 캠페인을 통해 제공되는 혜택은 무엇인가요
TEST_0021,총 1억원
TEST_0022,김우주 교수는 행정이란 무엇인가요? 그리고 국민에게 필요한 것은 무엇일까요
TEST_0023,고 투 캠페인 사업'은 어떤 비용을 지원하는가
TEST_0024,특별 여행주간은 2019년 10월 1일부터 11월 30일까지로 선포되었다. (단답형
TEST_0025,월 매출이 얼마인지 알려주세요
TEST_0026,The percentage of companies that reported a decrease in sales in 2020 is 20%
TEST_0027,2021년에도 온라인 마케팅 사업에 참여하겠다고 응답한 기업은 전체 중 30%입니다
TEST_0028,지원이 필요한 분야는 무엇입니까
TEST_0029,감소한 비즈니스 유형은 무엇인가요
